NOTICE: 2018-10-24 16:30:45  reuqest_uri [/index.php/platmis/authmis/userlist] refer [http://127.0.0.1:8090/platmis/app/index]  client_ip [127.0.0.1]  module [platmis]  uid [0] Database Driver Class Initialized 
NOTICE: 2018-10-24 16:30:45  reuqest_uri [/index.php/platmis/authmis/userlist] refer [http://127.0.0.1:8090/platmis/app/index]  client_ip [127.0.0.1]  module [platmis]  uid [0] time: [{"ts_all":6,"db_query":2}] request and response done 
NOTICE: 2018-10-24 16:43:32  reuqest_uri [/index.php/platmis/authmis/userlist] refer [http://127.0.0.1:8090/platmis/app/index]  client_ip [127.0.0.1]  module [platmis]  uid [0] Database Driver Class Initialized 
NOTICE: 2018-10-24 16:43:32  reuqest_uri [/index.php/platmis/authmis/userlist] refer [http://127.0.0.1:8090/platmis/app/index]  client_ip [127.0.0.1]  module [platmis]  uid [0] time: [{"ts_all":4,"db_query":1}] request and response done 
NOTICE: 2018-10-24 16:43:35  reuqest_uri [/index.php/platmis/authmis/userlist] refer [http://127.0.0.1:8090/platmis/app/index]  client_ip [127.0.0.1]  module [platmis]  uid [0] Database Driver Class Initialized 
NOTICE: 2018-10-24 16:43:35  reuqest_uri [/index.php/platmis/authmis/userlist] refer [http://127.0.0.1:8090/platmis/app/index]  client_ip [127.0.0.1]  module [platmis]  uid [0] time: [{"ts_all":3,"db_query":1}] request and response done 
NOTICE: 2018-10-24 16:44:23  reuqest_uri [/index.php/platmis/authmis/userlist] refer [http://127.0.0.1:8090/platmis/app/index]  client_ip [127.0.0.1]  module [platmis]  uid [0] Database Driver Class Initialized 
NOTICE: 2018-10-24 16:44:23  reuqest_uri [/index.php/platmis/authmis/userlist] refer [http://127.0.0.1:8090/platmis/app/index]  client_ip [127.0.0.1]  module [platmis]  uid [0] time: [{"ts_all":5,"db_query":1}] request and response done 
NOTICE: 2018-10-24 16:44:25  reuqest_uri [/index.php/platmis/authmis/userlist] refer [http://127.0.0.1:8090/platmis/app/index]  client_ip [127.0.0.1]  module [platmis]  uid [0] Database Driver Class Initialized 
NOTICE: 2018-10-24 16:44:25  reuqest_uri [/index.php/platmis/authmis/userlist] refer [http://127.0.0.1:8090/platmis/app/index]  client_ip [127.0.0.1]  module [platmis]  uid [0] time: [{"ts_all":4,"db_query":0}] request and response done 
NOTICE: 2018-10-24 16:45:03  reuqest_uri [/index.php/platmis/authmis/userlist] refer [http://127.0.0.1:8090/platmis/app/index]  client_ip [127.0.0.1]  module [platmis]  uid [0] Database Driver Class Initialized 
NOTICE: 2018-10-24 16:45:03  reuqest_uri [/index.php/platmis/authmis/userlist] refer [http://127.0.0.1:8090/platmis/app/index]  client_ip [127.0.0.1]  module [platmis]  uid [0] time: [{"ts_all":9,"db_query":1}] request and response done 
NOTICE: 2018-10-24 16:49:22  reuqest_uri [/index.php/platmis/authmis/userlist] refer [http://127.0.0.1:8090/platmis/app/index]  client_ip [127.0.0.1]  module [platmis]  uid [0] Database Driver Class Initialized 
NOTICE: 2018-10-24 16:49:22  reuqest_uri [/index.php/platmis/authmis/userlist] refer [http://127.0.0.1:8090/platmis/app/index]  client_ip [127.0.0.1]  module [platmis]  uid [0] time: [{"ts_all":3,"db_query":0}] request and response done 
NOTICE: 2018-10-24 17:30:09  reuqest_uri [/index.php/platmis/authmis/userlist] refer [http://127.0.0.1:8090/platmis/app/index]  client_ip [127.0.0.1]  module [platmis]  uid [0] Database Driver Class Initialized 
NOTICE: 2018-10-24 17:30:09  reuqest_uri [/index.php/platmis/authmis/userlist] refer [http://127.0.0.1:8090/platmis/app/index]  client_ip [127.0.0.1]  module [platmis]  uid [0] time: [{"ts_all":3,"db_query":1}] request and response done 
NOTICE: 2018-10-24 17:30:34  reuqest_uri [/index.php/platmis/authmis/userlist] refer [http://127.0.0.1:8090/platmis/app/index]  client_ip [127.0.0.1]  module [platmis]  uid [0] Database Driver Class Initialized 
NOTICE: 2018-10-24 17:30:34  reuqest_uri [/index.php/platmis/authmis/userlist] refer [http://127.0.0.1:8090/platmis/app/index]  client_ip [127.0.0.1]  module [platmis]  uid [0] time: [{"ts_all":3,"db_query":1}] request and response done 
NOTICE: 2018-10-24 17:31:20  reuqest_uri [/index.php/platmis/authmis/userlist] refer [http://127.0.0.1:8090/platmis/app/index]  client_ip [127.0.0.1]  module [platmis]  uid [0] Database Driver Class Initialized 
NOTICE: 2018-10-24 17:31:20  reuqest_uri [/index.php/platmis/authmis/userlist] refer [http://127.0.0.1:8090/platmis/app/index]  client_ip [127.0.0.1]  module [platmis]  uid [0] time: [{"ts_all":3,"db_query":1}] request and response done 
NOTICE: 2018-10-24 17:32:28  reuqest_uri [/index.php/platmis/authmis/userlist] refer [http://127.0.0.1:8090/platmis/app/index]  client_ip [127.0.0.1]  module [platmis]  uid [0] Database Driver Class Initialized 
